HSC_pop_size	HSCT_bottleneck	number_drivers_per_year	gamma_shape	gamma_rate	dpcpd
191896	1255	188.712264365338	0.446871937504745	23.4376483223494	2.69427138851664e-06
191454	1251	141.318468251664	0.632360884570681	21.0526276663669	2.02228151734097e-06
344702	11120	123.369078602282	0.52261475282084	23.3681370445035	9.80549795541338e-07
167724	1400	173.043758487576	0.187097733516908	25.5690068782438	2.82662283875329e-06
249549	43464	194.244999590082	1.07161635092306	33.7822122913578	2.1325594615435e-06
258932	576	145.551697289367	0.130728588193713	18.8128904834374	1.54006369778755e-06
161294	1781	184.44465997672	0.837895042074551	26.9084691893673	3.13296114891228e-06
199193	2148	115.145036913538	1.76873248320936	27.6350622462986	1.58371958129873e-06
275631	5723	192.529526727358	0.192648586745004	28.8981225118409	1.91371128580392e-06
242584	6328	179.965624687303	0.452472641852338	24.4529955595479	2.03251865742428e-06
203011	1175	159.858298498952	0.935691156011591	31.8369786980037	2.15736064101462e-06
179258	2731	173.394526479557	0.147971269874358	25.028669069565	2.65011043972523e-06
170061	10458	199.61404671805	0.340518776600042	27.2975561137214	3.21583313768315e-06
242255	2132	176.846524238814	0.435630423453307	30.1707667481566	2.00000423236597e-06
225394	2246	179.342803984877	0.528868161416183	28.5482176370065	2.17996108105705e-06
184957	707	179.285633545219	0.865156750984951	34.5619245820062	2.6557173643725e-06
216557	1471	110.509188760865	1.3556184305514	30.0341387436003	1.39808411048684e-06
211887	1193	205.587833646689	0.287112796046298	31.6554107292741	2.6582770002787e-06
194594	27784	181.874312714838	0.484398898059264	29.1418245368839	2.56064312496701e-06
244966	4376	246.05076174961	0.409159789661357	33.6449020718687	2.75185811919339e-06
252529	5718	173.848200639008	0.238129505587833	26.6616927936743	1.88610591301146e-06
210311	5378	240.517694041312	1.27839860016747	35.9514744832899	3.13322929573134e-06
235627	1204	197.024809364676	0.283470416511779	26.1619191139077	2.29088346521997e-06
314726	1676	240.19703361311	0.295258351264076	32.72096878428	2.09094280324299e-06
271025	10248	317.068582488446	0.483484334551976	36.21609879225	3.20516944161443e-06
265176	14844	198.950716832429	1.26374977287788	34.3697760637879	2.05550448409791e-06
260417	1964	236.145843616247	0.319187197638099	28.6411900557048	2.48438048981869e-06
155321	1724	227.603068961078	0.58455459614307	35.0300289622327	4.01471824124335e-06
155412	3216	173.298201325379	0.60149955251984	25.3595000313772	3.05503817383646e-06
194907	1764	198.328222237922	0.26525564456606	26.558253213239	2.78781671480585e-06
282985	1009	152.48439677007	0.917489906597101	30.403550662037	1.47628132446219e-06
203046	17211	154.452023089813	0.333938811190595	25.527945771678	2.08404119087952e-06
191905	1791	160.411994008053	0.109322809619463	22.0697909050297	2.29011706360207e-06
335605	2351	140.619087337201	0.300493556331096	23.924977190671	1.14795004104998e-06
262908	2923	136.081108385002	0.651573039738108	25.738094816065	1.41808143715466e-06
170148	7291	204.115706169496	1.05766302569417	36.8210495222883	3.2866746173516e-06
331300	14935	208.614874153554	0.345755341034158	28.7999775801869	1.7251663157884e-06
199120	1109	182.756708023348	0.666055294035232	27.5513695160217	2.51458070335982e-06
355023	15493	183.578040451145	0.434690983151236	23.643118628231	1.41667873766654e-06
214609	15387	226.155395018927	0.251061394379272	30.075646232367	2.88712878756093e-06
218998	4028	199.827412274914	0.23441379866198	25.9079173015283	2.49989663100588e-06
282684	3183	293.365598866021	0.422152791481073	39.1606553234942	2.84325029628922e-06
226940	7899	194.28338656008	0.42362233065441	27.9489440672714	2.34548008658471e-06
276446	1253	238.604376720383	0.114782080391796	23.8643708131425	2.36469553240681e-06
162368	697	257.639612339423	0.117332397018625	26.1886040659947	4.34729719904696e-06
227176	1046	260.430486982419	0.230492499145313	29.3058155255105	3.14077272032907e-06
189774	1818	158.894558578336	0.280484995066045	22.7461470277133	2.29392623725519e-06
242699	5798	171.358031435449	0.929078274095528	29.2255835835899	1.93438810513128e-06
240421	2126	127.212562757771	1.599950041528	34.6055486391876	1.44965526804802e-06
152361	585	157.736185509646	1.02705742567601	35.5176728459778	2.83638157338912e-06
253719	892	160.53725613535	2.10112216255572	38.0628073895794	1.73352448575376e-06
169985	8633	154.66490951321	0.567654116079745	23.4198328578482	2.49280511879509e-06
156419	1546	174.021940357967	0.656466425506617	28.7547994292927	3.04804684428935e-06
181617	6776	200.924701929826	0.677992623904905	25.6523635489333	3.03098628115309e-06
219675	1301	224.108821805143	0.216100645160042	26.0583248475683	2.79502343038072e-06
198400	2331	190.705009075644	0.577814229316545	31.8565901238508	2.63346510544139e-06
192019	1393	191.427651518707	1.32006170308008	37.7551190640835	2.73128867054476e-06
246862	2526	178.819648362286	0.563132693810385	28.9479943935376	1.98457779985652e-06
280496	509	184.951106497639	3.93732582948414	52.5791215443917	1.8064976337185e-06
263862	3997	293.852743260674	2.09618903807969	45.5783837375338	3.05112524324591e-06
232237	1066	168.036837186253	0.717829127351999	26.4460236122436	1.98234948092118e-06
199999	2684	222.27663011367	0.118813946518474	23.1332616549989	3.04490056852572e-06
239216	1973	200.924701929826	0.677992623904905	25.6523635489333	2.301178162933e-06
183324	792	244.111439932857	1.09625367270623	43.855851386583	3.64817735577159e-06
315367	5366	155.290021896814	1.11571283125511	28.7755482423502	1.34906986078376e-06
233870	576	200.924701929826	0.677992623904905	25.6523635489333	2.35378045676735e-06
326260	1021	156.610153214663	0.504950985529186	23.9619209917783	1.3151134460764e-06
285884	1079	198.950716832429	1.26374977287788	34.3697760637879	1.90661407100484e-06
223269	532	175.967132497897	1.09213959038102	35.288566353689	2.15928647896014e-06
214808	28462	192.551278955302	1.45488023284491	36.6264712173788	2.45585709360206e-06
198871	1245	138.109986685329	0.741271420414646	24.606760338149	1.90265813097578e-06
240595	3895	203.615100026015	0.148230332587862	25.1669041533959	2.31862503008113e-06
215436	3026	192.463087367652	0.642804898643904	30.8184603405956	2.44757668065871e-06
214287	7401	204.527278511397	0.168855262437663	27.7094561339615	2.61494494883219e-06
346091	1701	188.712264365338	0.446871937504745	23.4376483223494	1.49388427428274e-06
243612	8981	188.712264365338	0.446871937504745	23.4376483223494	2.12230884509297e-06
223914	1460	186.154750390685	0.1178343532739	25.2744759123088	2.27771829706494e-06
339338	3136	154.452023089813	0.333938811190595	25.527945771678	1.24700513247359e-06
190254	972	158.894558578336	0.280484995066045	22.7461470277133	2.28813879208251e-06
227085	715	179.965624687303	0.452472641852338	24.4529955595479	2.17124207231922e-06
177658	1081	170.368144716994	2.99467077969073	43.5639555356768	2.62730662464134e-06
273031	7297	150.245359685426	0.108281166801013	24.3043840791235	1.50763511259097e-06
264331	2083	182.051389365786	0.372930394996576	29.4195834325833	1.88691802992943e-06
201175	4366	206.793087208655	0.542317484072564	34.4212800862643	2.81623662637695e-06
193109	556	185.986997544713	0.236056793015328	22.0131633253874	2.6386829092933e-06
169642	984	281.323978970977	0.174665998776231	30.0651676933791	4.54339507502709e-06
219826	571	205.59356528838	0.644606309983652	35.3044105384397	2.56234495412723e-06
325801	1879	128.559002646489	1.67228607700395	33.6262024724602	1.08107846693785e-06
197175	1196	205.271475523855	1.41260200412712	38.9628266638892	2.85222570901456e-06
236230	871	180.179499646418	0.263765825987712	23.7442261846621	2.08966881761295e-06
190169	511	164.273553288402	0.304017637761802	23.9735985970816	2.366655604001e-06
279932	1934	94.4195561352591	1.02423151469193	23.7429979680614	9.24094835313812e-07
252591	1021	158.618294108773	1.97381115146751	37.4761431470343	1.7204519115533e-06
273209	898	136.081108385002	0.651573039738108	25.738094816065	1.36461446906748e-06
274802	4207	157.540009414338	0.734890364609731	33.2521448304757	1.57064527968818e-06
216990	4438	513.357443290671	0.114588262392293	30.3394109565289	6.48167541703104e-06
182608	1078	221.104568687904	0.443840501730064	31.4745425014981	3.31730231759121e-06
185437	1087	246.752540798009	0.24084796508944	29.9478600285976	3.64562820985407e-06
293524	14928	145.551697289367	0.130728588193713	18.8128904834374	1.35856615948109e-06
161294	2014	97.8503949360044	0.535728392935757	27.3884516475135	1.66207840215552e-06
199156	11937	230.51822709881	0.100697659760777	25.6999765382802	3.17116625445421e-06
178133	1923	162.709791177919	0.233967860607279	24.9712043566369	2.50251357021168e-06
205586	1402	239.342663456425	0.114901562713705	26.7111070631005	3.18958160836901e-06
199356	1274	94.4195561352591	1.02423151469193	23.7429979680614	1.29759683901696e-06
229830	1896	94.4195561352591	1.02423151469193	23.7429979680614	1.12554372988324e-06
217276	505	241.408797818636	2.81848024366428	47.3818813121241	3.04402679829526e-06
239540	2354	141.347279458054	2.12068409601094	35.5422360346327	1.61665200147376e-06
172089	540	178.49486556376	1.80429557876834	38.9633757213579	2.84170998112493e-06
223222	1986	251.811440506006	0.357190712561162	30.6335269704229	3.09061991000305e-06
184414	1645	202.781409749262	0.132702653946211	24.692548518482	3.01259940222739e-06
237403	9249	285.48374073146	0.693289497235107	36.050137636809	3.29459709810201e-06
198612	1165	205.660955878809	0.312608268620836	26.8471849242149	2.83696188367557e-06
231617	1000	222.27663011367	0.118813946518474	23.1332616549989	2.62924167399014e-06
189688	1018	152.132869295826	3.99702953518879	47.1298419763021	2.19730495145924e-06
147828	3033	285.325803935987	0.43162655752479	35.1264714460629	5.2880004554717e-06
207636	881	164.92684324848	0.136533388069249	23.3546606150446	2.17618507900522e-06
176555	574	165.477904593524	3.03078766148589	44.4812383292756	2.56783507787397e-06
241448	641	176.438968224885	0.572185376141303	31.0487770015069	2.00206435130063e-06
314726	1670	188.012983257666	0.489099194370416	28.1553753298925	1.6366746430852e-06
221780	9808	188.712264365338	0.446871937504745	23.4376483223494	2.33122870579308e-06
294145	5812	236.145843616247	0.319187197638099	28.6411900557048	2.19951015321394e-06
233393	6974	195.411005979941	3.14966886374398	44.3751541193561	2.29386750726511e-06
172849	2318	184.126600148056	0.885151541839389	32.5098843197451	2.91848051629918e-06
185457	16098	199.61404671805	0.340518776600042	27.2975561137214	2.94886577065052e-06
286343	1844	177.992072638162	0.375571576412011	23.834204679584	1.70302579101691e-06
329958	2487	157.013939981656	0.911117466130898	29.9058633048595	1.3037270744517e-06
190592	1100	145.551697289367	0.130728588193713	18.8128904834374	2.09227970426632e-06
242037	7592	177.342467396791	0.366970328675938	22.873733794861	2.00741941806351e-06
346579	1520	145.551697289367	0.130728588193713	18.8128904834374	1.15059416004872e-06
205946	8775	207.387818723074	0.374036269426798	26.3836988271204	2.7589067266213e-06
178156	42477	219.449838237231	0.121403247648619	28.5081676324218	3.37475265231965e-06
267652	9415	224.447724775734	0.138015215598625	28.0769270934167	2.29748058433404e-06
223976	1194	139.982443021355	0.351011276175417	21.5107678032805	1.71229748957147e-06
316768	18688	154.256975116776	0.296954986032922	22.8458181959301	1.33416838075501e-06
172166	617	201.674382925193	0.802425209360459	34.8430718311812	3.20930123229577e-06
245684	7620	135.098260261938	0.67508198402663	28.0775557902738	1.50653774725143e-06
223309	14350	170.368144716994	2.99467077969073	43.5639555356768	2.09020702399156e-06
224610	6577	158.618294108773	1.97381115146751	37.4761431470343	1.93477881123351e-06
220220	6756	156.78887297287	0.313670644635272	24.479543254737	1.95058830301542e-06
238728	517	171.034396896291	1.08174090579977	33.778672600708	1.96285056112799e-06
187458	747	161.274121218058	0.427757399863877	25.0859426726352	2.35704481775509e-06
199537	3546	147.504989872735	1.14608447983202	32.224519756399	2.02530488042469e-06
222883	920	257.639612339423	0.117332397018625	26.1886040659947	3.16696182129125e-06
310127	8091	222.27663011367	0.118813946518474	23.1332616549989	1.96363769940887e-06
158267	2898	164.115409966755	1.29935291098844	37.9025394298232	2.84096659558146e-06
212224	1447	189.925621691351	0.399461430626536	30.6712430470158	2.45186297976383e-06
241597	3337	166.681750505054	0.14270836022541	22.9928204325057	1.89018212209106e-06
217296	612	274.591401323454	0.427969482901413	35.8126524425187	3.46212175606248e-06
271162	2009	151.902996786042	1.73412083598812	30.6995147618697	1.53477476170836e-06
285593	727	166.819783158641	1.78689247484845	33.8464891109073	1.60032109261955e-06
200658	2959	149.10281379228	3.75217176269291	50.7622684121807	2.03580649515532e-06
188579	4215	101.017309522037	1.056078253066	31.2639572463525	1.46760642550427e-06
218491	7110	136.923731863223	0.150803749034205	23.9523614038581	1.7169288984628e-06
242175	820	162.741557746344	0.432674011840404	27.5965374002256	1.8410954123953e-06
235990	3792	209.085784803437	0.1594278546968	27.7573638095581	2.42738152711877e-06
188993	1138	197.391691485813	1.53054615935892	35.8167525705132	2.86147716981926e-06
179224	2665	197.633851447362	0.476494835103773	27.6696613208561	3.02115010659901e-06
217443	1170	197.791659617387	1.12646424287267	35.5127551904228	2.49212417900716e-06
211543	3266	195.411005979941	3.14966886374398	44.3751541193561	2.53079808418679e-06
239764	973	185.986997544713	0.236056793015328	22.0131633253874	2.12522904994378e-06
242175	1379	196.16830461578	0.298600518121153	22.3629952141578	2.21925223456693e-06
236376	689	203.541927562592	0.359866962011108	27.2146452997947	2.35916132183403e-06
241849	23138	182.932030755634	0.352388685300825	27.6153835104771	2.07229984786312e-06
223966	3329	162.921255827946	0.630266370339985	28.0363900101741	1.99297931386046e-06
258654	658	143.621384741567	2.13750594448477	39.6479488920172	1.52127261077465e-06
346579	1520	145.551697289367	0.130728588193713	18.8128904834374	1.15059416004872e-06
245759	1643	189.422831859108	0.225939884278117	23.9745912160534	2.11168934862078e-06
207662	838	162.709791177919	0.233967860607279	24.9712043566369	2.14666260462924e-06
189247	28368	125.353277410762	0.286693531436287	22.9071785186071	1.814737547976e-06
340759	6249	161.274121218058	0.427757399863877	25.0859426726352	1.29665513587824e-06
276576	1962	145.551697289367	0.130728588193713	18.8128904834374	1.44181625808286e-06
287977	14438	189.422831859108	0.225939884278117	23.9745912160534	1.80211149719489e-06
319252	4929	256.136140576922	0.116104844993722	28.1319588600849	2.1980844314074e-06
251230	1372	227.24946460899	0.141243325671084	29.5024949118221	2.47821228715258e-06
246013	31202	156.78887297287	0.313670644635272	24.479543254737	1.74608071967764e-06
137502	534	210.046280478144	0.65165042048639	33.5407594197848	4.18517011813614e-06
220487	554	162.253754867223	1.05204382861888	30.7598094941274	2.01613172319758e-06
192509	1830	176.994867631246	0.396744736525644	26.007819695175	2.51893389693499e-06
262557	4424	207.641476597844	0.237476288013901	24.1246705639076	2.16669430943495e-06
263850	1731	379.772093197555	0.107734403925938	29.4927582856564	3.9434204593992e-06
268811	2628	154.749273388337	2.07316878940774	41.4245440968901	1.57720707866434e-06
221376	1009	164.92684324848	0.136533388069249	23.3546606150446	2.0411172171524e-06
246862	2099	127.212562757771	1.599950041528	34.6055486391876	1.41183158687596e-06
230652	822	214.066633868933	0.7043092751311	34.3801298498902	2.54272205924092e-06
195838	13175	207.58870426795	0.592710292272125	32.8952166737487	2.90411552444661e-06
206038	1071	155.971771237392	0.729467238667775	29.5877166146313	2.07398596957034e-06
185395	720	125.806949632908	1.35955377419734	32.3455914200321	1.85914708776792e-06
344457	22790	179.965624687303	0.452472641852338	24.4529955595479	1.43140219531788e-06
296924	14657	202.781409749262	0.132702653946211	24.692548518482	1.87106972209172e-06
240169	2171	212.013603546365	0.631348396438125	36.0229834482491	2.41854355807061e-06
177527	511	176.846524238814	0.435630423453307	30.1707667481566	2.72922442958997e-06
199811	9600	227.400133060713	0.51347193414496	29.8490261482124	3.11801684181569e-06
228655	544	199.345537697932	0.414309501155914	27.4060507200754	2.38854238077683e-06
303607	1355	251.811440506006	0.357190712561162	30.6335269704229	2.2723269145662e-06
205647	1805	210.284008762583	0.918085766272397	31.462079878242	2.80150243841282e-06
248956	946	226.560369681692	0.189844848214933	23.7243010196658	2.4932652420254e-06
294040	3751	188.712264365338	0.446871937504745	23.4376483223494	1.75833186767375e-06
329134	631	177.992072638162	0.375571576412011	23.834204679584	1.48161391432412e-06
224923	1069	238.60101770726	0.66602833952966	38.0054724913429	2.90633424939226e-06
184970	8347	169.709867673285	2.94451722599561	43.3220757219335	2.51369704044247e-06
250428	596	231.411921166719	0.270087894572687	27.7533572734991	2.53168680606986e-06
118764.7289	4299	145.458910766161	3.99219829826515	43.131721325113	3.35712474090126e-06
143280	689	216.212534586079	1.10960407386452	38.4284766197076	4.13430421869773e-06
227693	1583	152.994568582965	1.43469947924955	35.1280965766479	1.84091386910078e-06
215105	709	152.627207754241	0.130375283593466	24.9640628245053	1.94396566129687e-06
319753	4126	225.459184767069	1.56810759757539	40.4509488860323	1.9317923416578e-06
320237	1973	138.968032323371	1.60246091786569	34.1112939065143	1.18891425766705e-06
172127	2020	237.273927253771	0.469378483762247	30.9665482656945	3.77666231398863e-06
247675	1891	140.619087337201	0.300493556331096	23.924977190671	1.55549721823591e-06
155818	2712	218.619378594924	0.148270099154079	24.932486990091	3.84395385404721e-06
192918	9464	197.791659617387	1.12646424287267	35.5127551904228	2.80893933098962e-06
365469	1259	110.338975715947	0.197287536148795	22.3232979459205	8.27152408563611e-07
142177	845	171.325868779811	0.403130283288024	24.7331647753203	3.30141965200065e-06
230502	1233	182.864169278166	0.414335821114012	26.3139056582556	2.173507058723e-06
247139	1977	185.580493629761	1.34335611972906	37.0518471798136	2.05730260531396e-06
269141	33702	174.214721354876	0.3128393543695	27.5113955400471	1.77342213357205e-06
207797	861	207.641476597844	0.237476288013901	24.1246705639076	2.7376755092822e-06
235985	21340	156.78887297287	0.313670644635272	24.479543254737	1.82027906896648e-06
308456	1253	184.856363141223	0.259788432700652	21.5474288545585	1.64190610468919e-06
298500	4922	168.056125258643	1.73356722060834	40.7584834817229	1.54247149224334e-06
155321	4315	153.203663883246	1.72525452282643	36.3427861832858	2.70237807787454e-06
245374	1054	187.553316529384	0.365098340470273	27.0698446180584	2.0941285662712e-06
225598	629	152.627207754241	0.130375283593466	24.9640628245053	1.85354805261245e-06
193282	2769	156.296457293355	2.76352808731046	43.1489995984083	2.21546482360794e-06
199356	1010	273.026655076953	0.334206678077197	35.2812515870171	3.75217316302265e-06
266708	3417	134.711278297614	1.11520602108001	34.3393822925564	1.38380549265837e-06
247561	2435	142.547454169304	0.131896480981847	23.3979676956332	1.57755450303909e-06
226061	2244	152.132869295826	3.99702953518879	47.1298419763021	1.84376067358987e-06
230687	11021	136.923731863223	0.150803749034205	23.9523614038581	1.62615800610366e-06
178983	2726	231.859881329948	0.663901266159397	37.3339493815368	3.54912227188559e-06
251602	2462	160.15558595488	1.13277008306075	32.5838611164878	1.74395444898548e-06
167460	15392	176.555896973299	0.107421694936639	23.1962601684919	2.88853927044199e-06
223266	1462	234.508207974911	0.615552996319339	35.2836332506344	2.87768061875589e-06
188699	551	108.949494275039	0.753606561802162	26.2598058217816	1.58184073650148e-06
212127	9989	184.525899329643	0.447347758132229	26.4605157285038	2.38324404306057e-06
222692	5484	218.827805372223	0.309772695707657	25.7194062025882	2.69218577181264e-06
216821	1412	149.378674170811	0.968731585061907	30.8212637687381	1.88753230343862e-06
216122	7237	177.342467396791	0.366970328675938	22.873733794861	2.24812732479728e-06
245478	2329	214.066633868933	0.7043092751311	34.3801298498902	2.38915067096862e-06
276258	25493	145.551697289367	0.130728588193713	18.8128904834374	1.44347592973064e-06
285884	1079	198.950716832429	1.26374977287788	34.3697760637879	1.90661407100484e-06
223269	532	175.967132497897	1.09213959038102	35.288566353689	2.15928647896014e-06
155219	657	198.328222237922	0.26525564456606	26.558253213239	3.50063453850793e-06
205656	3891	121.035252135981	1.7041991219096	28.8741044258681	1.61241797229129e-06
178873	3979	182.342050921196	0.664842087582968	32.1893273200664	2.79286008954844e-06
226061	1652	193.847172943361	0.79536933453235	31.7594478218249	2.34931343774602e-06
207798	1510	203.086914395227	0.457761323747314	31.3811352990631	2.67761241779229e-06
335299	1286	188.937909893686	0.728515741931248	29.2214454389259	1.54381047750745e-06
396137	3100	197.791659617387	1.12646424287267	35.5127551904228	1.36794835588661e-06
236397	3623	274.722071293427	0.251598998832837	31.0985403307575	3.18389492685223e-06
282846	11419	153.871655533264	0.493287975178645	26.515406784689	1.49044419770189e-06
186693	2501	145.458910766161	3.99219829826515	43.131721325113	2.13461438695027e-06
139853	6165	205.70888763612	0.391367951111319	31.3765052784975	4.02984557731058e-06
220072	49595	164.273553288402	0.304017637761802	23.9735985970816	2.04507856318507e-06
386373	6646	185.458948636527	0.652594887379454	27.9216269986018	1.31506784530292e-06
217927	1045	113.964589945724	1.44493510298352	30.5710103366138	1.43273551820544e-06
205818	4460	229.586232119584	0.375866976861744	28.0604619742129	3.05611450733217e-06
160439	9777	139.982443021355	0.351011276175417	21.5107678032805	2.39040097809298e-06
292012	30887	211.710698411062	0.290650391124357	32.6155336250624	1.98632011943084e-06
187796	1159	241.990592643127	0.620573282268611	36.2977283397391	3.53036233492547e-06
236016	19945	285.325803935987	0.43162655752479	35.1264714460629	3.31212515817348e-06
157833	1749	313.217086142608	0.323916317634628	34.5724766329244	5.43694286448609e-06
194846	865	304.144509776097	0.389870332345725	38.6270432883669	4.27657036594825e-06
300725	562	164.047414001768	2.27462519408764	45.0407095743381	1.49453809915324e-06
252638	2720	139.64238244271	0.725989710613333	27.7079378349189	1.51434807790615e-06
270614	4846	188.937909893686	0.728515741931248	29.2214454389259	1.91282826940871e-06
194725	1027	82.9619556356449	0.665457394163348	26.3639089773328	1.16725140140584e-06
235043	5054	188.598958677546	0.491412648277413	32.3448697568328	2.19836147355545e-06
128466	1360	178.030416815316	0.373809676239082	27.2040570608651	3.79675997242309e-06
382334	1364	240.623101583977	0.908355942369873	35.5834422442932	1.72425516486286e-06
200867	4353	188.598958677546	0.491412648277413	32.3448697568328	2.57239604230109e-06
200016	41859	132.203269321957	0.388483570753738	23.8388622448674	1.81085882063623e-06
191276	1301	184.856363141223	0.259788432700652	21.5474288545585	2.64777488774341e-06
180512	791	210.037275677233	0.556534036571829	31.9465580072593	3.18784674091766e-06
277864	18927	162.709791177919	0.233967860607279	24.9712043566369	1.60431092117913e-06
248013	2302	218.585535632005	0.168800164435615	29.8011232195105	2.41464955943267e-06
144447	975	147.655701829209	0.933545990910266	34.6460333727379	2.80058547006925e-06
184414	2429	241.385274792318	1.41140596578385	40.4997811157899	3.58611341860679e-06
205419	4939	168.036837186253	0.717829127351999	26.4460236122436	2.24115050896311e-06
208252	1043	177.992072638162	0.375571576412011	23.834204679584	2.34163184064094e-06
338967	2340	152.627207754241	0.130375283593466	24.9640628245053	1.23362077598487e-06
215333	2751	152.977558872045	0.363830370379439	24.8681749633423	1.94636493082546e-06
261306	1174	150.253923402967	0.117321783164406	20.0745293101341	1.57537364111679e-06
286415	13306	242.092555778348	2.06705374676768	40.8529617467956	2.31575607459478e-06
219464	29433	151.902996786042	1.73412083598812	30.6995147618697	1.89631371857964e-06
215639	1117	205.472541477081	0.610403507147459	34.1488937745044	2.61055963809989e-06
274707	9542	194.097182444703	1.65481904917456	38.7148930323893	1.93578286169711e-06
197200	1767	193.588533569645	1.14451204490176	33.0211356081956	2.68955144029627e-06
137223	643	207.641476597844	0.237476288013901	24.1246705639076	4.14566623526896e-06
206799	2573	177.342467396791	0.366970328675938	22.873733794861	2.34947835187713e-06
201142	771	123.369078602282	0.52261475282084	23.3681370445035	1.68039233786425e-06
179703	1472	168.270673062562	0.731871606843789	31.4436019381387	2.56543041928714e-06
286901	17656	176.438968224885	0.572185376141303	31.0487770015069	1.68488235834952e-06
262907	2717	191.049048346525	0.98288650467777	33.4618196444204	1.99090191689248e-06
237653	781	135.35250953395	1.50712796278997	33.0194418997073	1.5603791799123e-06
335431	5437	263.646410290375	1.78027802453267	45.5819508380498	2.1534054166204e-06
207371	24264	150.245359685426	0.108281166801013	24.3043840791235	1.98499849268135e-06
