largest_clade_D_1	largest_clade_D_2	largest_clade_D_3	largest_clade_R_1	largest_clade_R_2	largest_clade_R_3	n_singletons_D	n_singletons_R	D_coals_pre	R_coals_pre	D_coals_peri	R_coals_peri	R_max_coals_in_single_clade
10	5	5	66	23	13	108	62	20	64	0	47	32
20	6	5	57	14	4	98	86	30	34	1	52	33
15	11	3	30	15	13	99	65	29	24	0	68	20
14	4	3	60	14	5	107	62	20	48	2	53	28
9	7	6	52	18	7	90	68	29	73	3	28	15
8	4	2	47	16	6	104	79	19	35	0	55	26
7	5	4	30	26	14	103	60	19	46	1	60	14
12	10	3	62	15	12	95	85	26	72	1	24	19
8	6	6	58	15	7	102	72	25	43	1	53	22
27	10	5	57	13	8	87	73	40	60	1	40	18
24	12	11	63	18	11	70	57	51	35	2	65	29
13	12	8	62	42	7	83	55	40	78	1	43	19
12	8	3	49	23	3	101	79	21	49	3	37	16
13	3	2	86	13	5	110	64	17	75	1	36	21
29	5	4	49	14	9	88	79	33	46	5	39	27
15	8	5	66	11	10	104	80	27	48	1	47	29
26	3	2	81	11	5	95	80	32	63	0	36	28
9	8	4	47	21	13	105	57	24	75	0	35	19
14	7	7	30	29	16	96	64	30	46	1	50	13
16	8	7	84	9	4	90	72	35	63	1	38	28
6	6	2	45	16	6	102	74	19	38	0	46	21
18	9	3	78	9	4	101	73	28	53	1	45	31
14	12	2	71	18	3	106	87	25	61	1	32	20
14	6	5	70	7	6	100	91	26	43	2	40	30
8	7	4	59	50	8	105	55	19	74	3	44	27
17	5	4	71	7	5	103	88	26	51	1	38	30
6	6	2	63	36	4	108	58	16	78	1	40	15
17	15	7	49	26	12	94	76	38	66	0	35	17
17	12	3	59	45	4	100	68	30	67	1	43	20
31	12	3	38	17	12	81	61	43	32	3	67	26
27	15	5	74	29	6	76	54	46	81	4	38	25
21	7	2	53	26	4	98	94	28	56	1	30	18
13	7	5	74	12	8	93	55	29	72	4	44	23
16	4	4	49	23	6	100	91	26	51	2	29	18
6	3	2	39	28	7	121	61	9	33	0	61	26
6	4	3	33	26	15	119	66	12	32	0	65	17
26	4	4	78	9	6	89	73	37	74	0	29	21
9	3	3	41	12	9	111	58	17	26	0	70	24
31	6	3	88	12	7	84	69	41	71	2	38	31
23	3	3	48	11	9	103	94	28	45	0	37	26
12	11	3	29	22	15	104	85	24	30	1	48	18
16	5	3	56	12	4	108	82	20	42	3	44	30
14	6	3	56	40	5	98	58	20	64	2	45	22
18	11	5	52	28	9	102	69	28	51	3	54	31
8	7	4	44	41	16	103	53	21	64	0	50	19
10	6	4	35	29	4	102	73	24	35	0	55	17
27	13	5	41	35	20	74	62	51	84	1	33	18
24	8	8	68	19	17	78	56	40	96	1	18	13
15	6	2	39	9	9	107	83	20	19	0	59	27
4	4	3	33	15	14	115	76	12	45	0	46	17
12	7	4	36	32	13	107	57	22	41	1	61	24
12	11	4	38	17	10	83	59	33	37	3	64	20
10	5	5	54	29	7	108	60	17	42	2	62	24
13	6	3	40	13	7	104	85	20	45	3	34	19
4	3	3	35	20	14	113	47	13	32	1	74	16
10	4	3	43	11	10	108	87	16	34	3	42	24
28	6	5	52	22	4	93	89	35	32	1	51	22
26	8	5	36	30	13	85	59	40	39	0	60	19
11	8	6	38	22	14	101	73	25	61	2	39	11
11	7	2	47	23	4	112	89	17	52	1	31	19
15	9	3	31	30	5	102	65	24	38	1	54	16
14	12	4	40	21	10	100	62	28	37	1	64	19
13	12	10	84	10	7	90	41	36	91	1	35	26
12	8	5	67	18	9	96	69	29	86	2	20	14
11	4	3	42	14	10	108	69	19	35	1	65	28
5	4	4	56	25	6	119	68	12	23	0	73	34
14	10	7	89	12	7	101	70	30	92	0	21	18
11	4	4	41	22	20	96	50	28	56	1	61	23
12	3	3	44	25	19	111	70	18	64	0	37	19
6	4	3	42	14	12	117	70	11	25	0	67	23
10	8	4	81	17	11	102	52	23	108	1	19	12
18	14	3	40	15	15	99	76	30	39	3	50	19
33	5	3	60	35	3	87	74	39	55	2	47	25
8	7	3	65	12	10	107	66	20	52	0	50	33
24	10	3	64	27	10	89	59	38	75	0	42	25
24	5	5	51	21	10	82	61	41	39	1	66	28
10	9	3	33	16	13	108	63	20	27	0	61	18
10	5	3	35	29	15	107	70	20	49	1	46	10
18	6	4	76	10	8	94	67	30	73	1	38	28
7	7	7	48	12	7	94	92	28	58	0	23	17
31	9	5	47	21	7	79	72	48	67	1	34	17
18	5	3	79	16	7	102	69	23	83	3	27	20
12	8	4	56	14	6	104	78	25	59	0	29	16
9	8	5	83	9	7	102	72	23	62	1	41	30
23	5	3	46	25	6	97	73	31	56	1	38	18
11	6	4	53	35	7	104	71	25	56	0	49	25
10	4	2	41	20	8	118	79	14	31	0	52	23
11	11	10	37	32	19	86	51	37	56	3	56	23
28	12	6	53	46	8	76	64	48	54	3	54	27
19	10	3	51	29	3	102	84	27	51	1	34	19
8	6	5	54	31	19	104	53	23	56	0	64	30
13	10	7	40	15	13	91	70	34	41	2	53	18
12	4	3	46	23	18	111	72	18	69	0	31	22
13	9	2	65	16	10	96	77	24	76	3	25	18
5	5	4	46	13	9	106	73	14	40	1	52	26
9	8	7	46	28	8	95	72	30	62	3	33	16
20	10	2	58	24	6	104	58	28	43	1	57	23
7	6	5	48	16	8	101	78	19	29	4	56	35
11	5	3	58	9	5	110	76	20	61	0	32	20
21	6	5	71	15	12	91	56	34	51	1	62	36
9	7	2	27	24	11	110	69	18	24	0	64	17
10	9	3	39	27	19	96	75	25	65	2	33	15
31	5	2	80	12	12	96	64	35	75	1	38	25
7	5	4	34	12	8	99	85	22	45	1	34	20
23	12	6	61	30	19	87	63	42	63	0	47	27
13	5	3	31	23	5	103	60	24	23	1	71	19
8	4	2	46	18	7	122	69	9	42	1	47	20
17	11	4	50	36	7	90	72	35	76	1	32	15
22	7	3	59	24	9	87	76	34	69	3	34	23
10	5	3	36	17	6	118	72	14	17	1	68	23
12	7	3	56	11	10	104	56	20	52	1	56	24
22	8	7	55	18	10	89	73	36	57	3	41	24
17	4	3	59	28	6	104	54	24	42	1	67	32
8	6	4	40	38	7	106	72	22	52	0	47	20
24	7	5	71	53	5	85	44	37	63	4	67	39
9	5	3	46	28	6	105	80	15	72	2	24	13
12	7	5	55	18	11	95	67	29	62	3	42	22
9	8	7	41	17	9	102	61	23	43	1	50	22
13	7	3	59	7	6	100	91	24	53	1	28	23
9	8	4	47	21	13	105	57	24	75	0	35	19
10	8	4	39	17	5	105	68	19	30	4	60	22
16	8	4	48	18	6	100	77	24	49	3	40	25
13	3	3	99	8	5	107	66	17	81	0	34	27
21	4	3	34	16	11	98	81	26	28	2	52	17
24	11	8	69	41	10	79	47	46	96	4	30	15
6	4	2	68	20	3	120	74	10	37	0	59	31
9	8	5	31	28	11	107	79	20	34	2	56	18
23	6	3	55	16	5	84	65	37	37	1	56	30
26	6	3	32	25	17	97	60	32	24	2	77	22
8	6	3	43	22	5	109	72	16	45	0	45	23
8	4	3	70	20	18	102	71	15	85	2	23	14
11	6	5	78	10	5	98	72	23	66	4	40	23
9	9	4	30	12	11	108	65	20	29	1	63	21
36	3	3	88	25	14	88	41	37	108	4	29	21
18	6	4	64	15	9	104	90	25	78	2	14	14
17	15	2	48	34	4	96	79	32	39	2	54	22
18	10	4	37	31	18	98	81	32	68	0	28	15
29	3	3	32	28	19	93	58	32	31	2	69	24
22	9	2	43	25	7	99	83	31	42	0	46	18
27	9	4	32	22	19	89	54	38	59	1	54	14
21	13	7	83	14	9	79	61	46	96	1	21	17
22	5	4	43	17	14	93	73	31	53	3	39	18
11	9	3	79	38	6	109	56	22	94	0	35	22
20	5	4	63	8	7	100	71	29	33	0	61	33
4	4	3	76	20	7	111	52	14	59	0	57	38
19	9	3	35	23	13	81	63	38	53	2	48	12
14	10	2	62	18	7	98	61	26	38	1	59	30
21	10	8	47	38	10	73	66	50	67	0	40	14
14	5	4	30	19	11	102	60	23	30	0	66	17
8	6	5	26	22	14	112	81	18	20	0	61	16
23	4	2	69	8	6	103	69	27	57	1	45	25
18	4	3	40	14	11	103	81	22	31	3	51	17
26	5	4	55	8	7	92	72	35	51	0	41	23
25	5	4	72	13	4	94	84	32	76	1	22	19
16	8	8	49	26	6	95	80	31	38	2	48	27
21	11	4	78	10	7	92	65	37	59	0	48	29
10	3	2	52	15	9	111	78	17	65	0	34	20
16	8	7	49	21	9	80	75	40	77	4	24	14
14	9	8	45	19	8	94	96	31	44	2	34	17
16	9	5	79	12	6	88	53	37	81	0	33	20
6	5	3	33	23	10	106	85	14	49	2	34	17
11	6	5	62	17	9	91	48	29	33	2	75	33
20	5	5	71	24	10	98	73	27	76	2	28	19
4	3	3	46	22	11	120	74	10	57	0	44	14
13	3	3	57	10	5	109	72	19	47	0	46	23
7	6	5	33	24	12	97	52	25	38	1	65	17
42	8	6	76	52	11	66	34	59	116	1	35	23
23	5	4	54	28	3	100	89	30	62	0	28	18
4	3	2	64	15	4	119	87	8	61	0	29	25
6	4	2	48	20	13	118	78	11	26	1	61	29
15	3	3	69	18	6	109	68	19	37	1	58	33
5	3	3	64	24	7	101	66	18	55	1	50	32
10	7	4	50	26	9	102	48	24	46	1	66	27
22	14	2	51	14	10	98	86	35	45	0	44	26
6	6	2	55	21	8	118	67	11	34	0	64	35
11	5	2	34	12	10	110	92	17	18	1	59	24
13	9	3	34	29	10	101	66	24	46	2	50	18
2	2	2	53	24	6	116	69	9	53	0	44	19
21	4	4	45	21	5	93	88	27	39	2	41	20
12	2	2	35	25	8	118	83	11	33	3	48	19
10	8	4	41	19	11	108	58	21	51	1	48	20
10	5	4	36	19	15	96	59	24	45	1	55	15
22	3	2	58	33	6	109	64	24	59	0	47	20
19	4	3	59	8	6	101	86	27	43	0	45	29
11	6	5	62	17	9	91	48	29	33	2	75	33
24	7	2	41	16	8	99	82	26	48	5	40	28
10	7	3	68	11	8	104	53	20	80	2	36	23
17	11	5	55	23	7	97	99	31	64	2	22	17
9	8	6	56	13	11	101	63	25	60	2	44	19
14	10	5	49	24	15	91	55	31	45	2	68	27
22	6	5	45	27	17	93	85	32	50	0	40	12
6	4	3	63	32	5	108	57	15	49	2	61	32
17	11	7	93	10	6	79	58	46	78	2	41	30
25	7	5	41	36	10	86	68	41	41	1	56	21
8	3	3	56	18	4	107	71	15	33	0	56	28
4	3	2	53	13	11	123	53	8	36	0	66	29
24	10	3	46	13	12	90	60	38	50	1	53	20
8	7	5	43	17	13	97	82	24	57	2	31	14
11	3	3	32	21	11	115	78	13	41	1	43	16
15	10	3	68	6	6	99	83	28	55	0	32	22
5	5	4	38	23	15	104	75	21	69	1	32	14
33	7	4	85	17	7	75	59	45	85	5	33	20
12	6	4	45	25	5	107	77	19	37	2	53	20
20	4	3	46	11	9	102	82	26	23	1	56	26
14	11	2	62	50	5	105	59	25	97	1	25	21
16	6	4	47	13	11	95	93	29	47	0	32	24
8	6	5	44	36	31	95	53	25	76	3	48	23
21	5	5	96	29	3	93	54	30	111	3	18	16
6	5	3	38	17	10	107	78	17	29	1	53	21
16	6	4	79	11	7	102	74	24	83	1	22	16
22	5	2	31	17	8	97	75	29	30	2	48	20
10	10	3	56	18	18	88	54	30	58	1	56	26
14	11	5	84	24	11	92	56	29	99	2	27	21
15	9	8	72	18	13	90	60	30	76	1	36	25
22	14	3	69	25	6	97	78	35	77	0	26	18
17	9	8	61	19	11	90	60	35	52	2	59	22
6	4	3	30	30	19	113	87	12	62	2	30	13
15	10	4	81	10	6	88	63	34	84	1	30	21
20	10	8	29	27	14	77	74	48	42	1	50	18
13	13	5	60	10	9	97	91	32	66	1	24	20
16	12	5	35	31	9	89	80	35	39	2	46	21
15	3	2	63	18	12	110	72	20	69	0	33	23
15	3	3	66	15	5	109	61	19	55	0	52	30
10	4	2	52	22	8	104	67	13	48	0	48	22
10	6	6	57	11	9	101	78	22	70	3	27	15
18	9	5	77	19	5	102	60	29	76	1	36	19
11	7	3	59	31	7	103	51	21	45	0	67	37
14	10	3	38	10	10	98	74	26	47	3	47	19
