Individual	Zur_ID	Plate_no	Well	Sample	colony_type	Pair	DorR	Plate_ID	Library_conc	Sent_for_WGS	Conc	Current_volume	Total_DNA_quant	Coverage	Run	Lane	Lane_number	Sample_number	Run_Lane	Project
PD45790b	D03	1	A1	PD45790b_lo0001	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	B1	PD45790b_lo0002	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	C1	PD45790b_lo0003	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	D1	PD45790b_lo0004	CFU-GM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	E1	PD45790b_lo0005	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	F1	PD45790b_lo0006	CFU-GM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	G1	PD45790b_lo0007	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	H1	PD45790b_lo0008	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	A2	PD45790b_lo0009	CFU-GM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	B2	PD45790b_lo0010	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	C2	PD45790b_lo0011	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	D2	PD45790b_lo0012	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	E2	PD45790b_lo0013	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	F2	PD45790b_lo0014	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	G2	PD45790b_lo0015	CFU-GEMM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	H2	PD45790b_lo0016	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	A3	PD45790b_lo0017	CFU-GM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	B3	PD45790b_lo0018	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	C3	PD45790b_lo0019	CFU-GM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	D3	PD45790b_lo0020	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	E3	PD45790b_lo0021	CFU-GM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	F3	PD45790b_lo0022	CFU-GM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	G3	PD45790b_lo0023	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	H3	PD45790b_lo0024	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	A4	PD45790b_lo0025	CFU-GEMM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	B4	PD45790b_lo0026	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	C4	PD45790b_lo0027	CFU-GM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	D4	PD45790b_lo0028	CFU-GEMM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	E4	PD45790b_lo0029	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	F4	PD45790b_lo0030	CFU-GM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	G4	PD45790b_lo0031	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	H4	PD45790b_lo0032	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	A5	PD45790b_lo0033	CFU-GM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	B5	PD45790b_lo0034	CFU-GM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	C5	PD45790b_lo0035	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	D5	PD45790b_lo0036	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	E5	PD45790b_lo0037	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	F5	PD45790b_lo0038	CFU-GEMM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	G5	PD45790b_lo0039	CFU-GM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	H5	PD45790b_lo0040	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	A6	PD45790b_lo0041	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	B6	PD45790b_lo0042	CFU-GEMM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	C6	PD45790b_lo0043	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	D6	PD45790b_lo0044	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	E6	PD45790b_lo0045	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	F6	PD45790b_lo0046	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	G6	PD45790b_lo0047	CFU-GM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	H6	PD45790b_lo0048	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	A7	PD45790b_lo0049	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	B7	PD45790b_lo0050	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	C7	PD45790b_lo0051	CFU-GEMM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	D7	PD45790b_lo0052	CFU-GM	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	E7	PD45790b_lo0053	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	F7	PD45790b_lo0054	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	G7	PD45790b_lo0055	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	H7	PD45790b_lo0056	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	A8	PD45790b_lo0057	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	B8	PD45790b_lo0058	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PD45790b	D03	1	C8	PD45790b_lo0059	BFU-E	3	D	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
