Individual	Zur_ID	Plate_no	Well	Sample	colony_type	Pair	DorR	Plate_ID	Library_conc	Sent_for_WGS	Conc	Current_volume	Total_DNA_quant	Coverage	Run	Lane	Lane_number	Sample_number	Run_Lane	Project	ID	peak_vaf	SNV_burden_u	SNV_burden	germline_SNV_sensitivity	germline_INDEL_sensitivity	somatic_SNV_sensitivity
PD45792b	D11	1	A1	PD45792b_lo0001	BFU-E	11	D	DN585185E	82.022	YES	NA	NA	NA	15.61	30907	4#1	4	1	30907_4	2189	Pair11	0.538704924331643	1269	1269	0.8569429770709	0.312539382482672	0.8569429770709
PD45792b	D11	1	B1	PD45792b_lo0002	BFU-E	11	D	DN585185E	87.494	YES	NA	NA	NA	14.01	30907	4#2	4	2	30907_4	2189	Pair11	0.489521794961256	1335	1335	0.845521258673367	0.279773156899811	0.845521258673367
PD45792b	D11	1	C1	PD45792b_lo0003	BFU-E	11	D	DN585185E	84.924	YES	NA	NA	NA	14.6	30907	4#3	4	3	30907_4	2189	Pair11	0.469014335838167	1426	1426	0.837326175723138	0.287964713295526	0.791
PD45792b	D11	1	D1	PD45792b_lo0004	BFU-E	11	D	DN585185E	81.278	YES	NA	NA	NA	14.26	30907	4#4	4	4	30907_4	2189	Pair11	0.536792067316763	1039	1039	0.809971160161046	0.259609325771897	0.809971160161046
PD45792b	D11	1	E1	PD45792b_lo0005	BFU-E	11	D	DN585185E	75.091	YES	NA	NA	NA	14.31	30906	3#1	3	1	30906_3	2189	Pair11	0.487090554263933	1323	1323	0.846663430513121	0.303717706364209	0.846663430513121
PD45792b	D11	1	F1	PD45792b_lo0006	BFU-E	11	D	DN585185E	67.914	YES	NA	NA	NA	14.77	30906	3#2	3	2	30906_3	2189	Pair11	NA	NA	NA	0.834899060563662	0.298046628859483	NA
PD45792b	D11	1	G1	PD45792b_lo0007	BFU-E	11	D	DN585185E	39.414	YES	NA	NA	NA	13.12	30906	4#1	4	1	30906_4	2189	Pair11	NA	NA	NA	0.849433197224522	0.302457466918715	NA
PD45792b	D11	1	H1	PD45792b_lo0008	BFU-E	11	D	DN585185E	90.916	YES	NA	NA	NA	14.69	30907	4#5	4	5	30907_4	2189	Pair11	0.514729986039923	1106	1106	0.847462950800948	0.30119722747322	0.847462950800948
PD45792b	D11	1	A2	PD45792b_lo0009	BFU-E	11	D	DN585185E	79.301	YES	NA	NA	NA	13.92	30906	3#3	3	3	30906_3	2189	Pair11	0.487298446134819	1162	1162	0.847263070728991	0.293635790800252	0.847263070728991
PD45792b	D11	1	B2	PD45792b_lo0010	CFU-GM	11	D	DN585185E	13.477	YES	NA	NA	NA	13.11	30906	4#2	4	2	30906_4	2189	Pair11	0.456934141443546	1196	1196	0.845549812969361	0.2822936357908	0.7385
PD45792b	D11	1	C2	PD45792b_lo0011	CFU-GEMM	11	D	DN585185E	79.939	YES	NA	NA	NA	13.95	30906	3#4	3	4	30906_3	2189	Pair11	0.531145512388252	1319	1319	0.83421375745981	0.291115311909263	0.83421375745981
PD45792b	D11	1	D2	PD45792b_lo0012	empty_well	11	D	DN585185E	76.365	YES	NA	NA	NA	13.72	30906	3#5	3	5	30906_3	2189	Pair11	0.517274551998629	1268	1268	0.825561805773679	0.281663516068053	0.825561805773679
PD45792b	D11	1	E2	PD45792b_lo0013	BFU-E	11	D	DN585185E	58.771	YES	NA	NA	NA	20.54	30906	4#3	4	3	30906_4	2189	Pair11	0.503735682311773	1226	1226	0.906227691956255	0.46817895400126	0.906227691956255
PD45792b	D11	1	F2	PD45792b_lo0014	BFU-E	11	D	DN585185E	45.159	YES	NA	NA	NA	15.9	30906	4#4	4	4	30906_4	2189	Pair11	0.507048783499044	1253	1253	0.852631278375832	0.328292375551355	0.852631278375832
PD45792b	D11	1	G2	PD45792b_lo0015	BFU-E	11	D	DN585185E	6.465	NO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pair11	NA	NA	NA	NA	NA	NA
PD45792b	D11	1	H2	PD45792b_lo0016	BFU-E	11	D	DN585185E	12.052	YES	NA	NA	NA	12.49	30906	4#5	4	5	30906_4	2189	Pair11	0.538776102920562	1275	1275	0.778732760343794	0.217391304347826	0.778732760343794
PD45792b	D11	1	A3	PD45792b_lo0017	CFU-GM	11	D	DN585185E	3.736	YES	NA	NA	NA	6.87	30906	4#6	4	6	30906_4	2189	Pair11	NA	NA	NA	0.380885754261729	0.0270951480781348	NA
PD45792b	D11	1	B3	PD45792b_lo0018	BFU-E	11	D	DN585185E	89.871	YES	NA	NA	NA	15.92	30907	4#6	4	6	30907_4	2189	Pair11	0.474826250123836	1357	1357	0.868336141172439	0.348456206679269	0.824429771908764
PD45792b	D11	1	C3	PD45792b_lo0019	BFU-E	11	D	DN585185E	1.157	NO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pair11	NA	NA	NA	NA	NA	NA
PD45792b	D11	1	D3	PD45792b_lo0020	BFU-E	11	D	DN585185E	68.818	YES	NA	NA	NA	14.12	30906	3#6	3	6	30906_3	2189	Pair11	0.540426852856347	1150	1150	0.834156648867822	0.302457466918715	0.834156648867822
PD45792b	D11	1	E3	PD45792b_lo0021	BFU-E	11	D	DN585185E	79.392	YES	NA	NA	NA	17.02	30906	3#7	3	7	30906_3	2189	Pair11	0.519973453060882	1260	1260	0.887581736672282	0.386893509766856	0.887581736672282
PD45792b	D11	1	F3	PD45792b_lo0022	BFU-E	11	D	DN585185E	4.649	NO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pair11	NA	NA	NA	NA	NA	NA
PD45792b	D11	1	G3	PD45792b_lo0023	BFU-E	11	D	DN585185E	80.915	YES	NA	NA	NA	15.82	30906	3#8	3	8	30906_3	2189	Pair11	0.530807253739137	1134	1134	0.863025042117587	0.335853812224323	0.863025042117587
PD45792b	D11	1	H3	PD45792b_lo0024	BFU-E	11	D	DN585185E	53.585	YES	NA	NA	NA	18.14	30906	4#7	4	7	30906_4	2189	Pair11	0.49062581446681	1258	1258	0.910910596499243	0.441713925645873	0.910910596499243
PD45792b	D11	1	A4	PD45792b_lo0025	BFU-E	11	D	DN585185E	85.115	YES	NA	NA	NA	13.74	30907	4#7	4	7	30907_4	2189	Pair11	0.538572224006818	1181	1181	0.831215556380457	0.278512917454316	0.831215556380457
